ID,Jugador,Equipo,Posicion,Nacionalidad,Edad,Partidos_Jugados,Goles,Asistencias,Minutos_Jugados,Tarjetas_Amarillas,Tarjetas_Rojas,Altura_cm,Peso_kg,Rating_Promedio,Valor_Mercado_Millones_EUR
42,Jugador_042,Leones United,Mediocampista,,29,18,2,3.0,1170,2,0,176,71,7.66,2.24
43,Jugador_043,Lobos FC,Defensa,Inglaterra,17,35,3,6.0,1855,4,0,171,74,7.9,5.73
44,Jugador_044,Jaguares SC,Delantero,Alemania,19,20,10,2.0,1760,1,0,174,73,5.8,12.12
45,Jugador_045,Panteras FC,Defensa,Espana,36,3,1,1.0,204,2,0,180,71,7.08,2.09
46,Jugador_046,Panteras FC,Defensa,Colombia,19,30,0,6.0,1410,3,0,181,76,7.39,3.71
47,Jugador_047,Leones United,Portero,Francia,30,26,0,2.0,2184,4,0,175,86,6.88,1.23
48,Jugador_048,Halcones CF,Portero,Espana,33,33,1,1.0,2277,4,0,178,69,7.11,1.37
49,Jugador_049,Jaguares SC,Mediocampista,Chile,17,27,4,1.0,2133,3,0,177,79,6.4,3.39
50,Jugador_050,Toros United,Mediocampista,Francia,39,26,3,6.0,1144,3,1,188,72,6.85,6.6
51,Jugador_051,Condores United,Defensa,Inglaterra,26,14,3,3.0,854,1,0,175,75,6.71,3.47
52,Jugador_052,Panteras FC,Defensa,Inglaterra,29,14,0,6.0,1064,3,0,174,82,6.38,3.97
53,Jugador_053,Lobos FC,Portero,Chile,39,14,0,2.0,1064,2,1,172,76,,1.4
54,Jugador_054,Jaguares SC,Defensa,Italia,17,8,2,2.0,480,5,1,178,87,,2.54
55,Jugador_055,Delfines CF,Mediocampista,Inglaterra,19,27,5,1.0,1809,2,0,185,65,6.6,6.86
56,Jugador_056,Lobos FC,Mediocampista,Alemania,36,15,4,3.0,780,2,0,180,63,6.76,3.82
57,Jugador_057,Aguilas FC,Delantero,Mexico,24,37,4,3.0,1665,2,0,179,74,6.67,8.13
58,Jugador_058,Jaguares SC,Mediocampista,Italia,36,22,4,3.0,1826,2,1,187,77,6.52,7.85
59,Jugador_059,Lobos FC,Defensa,Uruguay,39,11,1,1.0,484,5,0,185,83,,0.3
60,Jugador_060,Delfines CF,Delantero,Inglaterra,25,29,12,6.0,2523,4,0,181,71,6.04,13.9
61,Jugador_061,Lobos FC,Mediocampista,Argentina,17,17,4,3.0,935,4,0,193,75,6.9,2.17
62,Jugador_062,Condores United,Delantero,Francia,33,37,6,3.0,3293,5,0,169,69,6.56,7.91
63,Jugador_063,Aguilas FC,Mediocampista,Uruguay,36,31,6,0.0,1829,5,1,189,82,6.06,9.66
64,Jugador_064,Tigres SC,Mediocampista,Italia,20,34,2,2.0,2890,2,1,185,82,6.46,2.77
65,Jugador_065,Lobos FC,Defensa,Uruguay,23,37,1,2.0,3071,5,0,171,78,7.04,80.49
66,Jugador_066,Condores United,Portero,Brasil,20,30,0,,1380,1,0,188,75,7.11,0.3
67,Jugador_067,Jaguares SC,Mediocampista,Brasil,31,36,3,3.0,2664,4,0,188,75,5.81,3.51
68,Jugador_068,Tigres SC,Mediocampista,Mexico,34,35,2,3.0,1750,2,0,179,69,7.13,5.4
69,Jugador_069,Lobos FC,Delantero,Francia,17,5,7,2.0,385,3,0,174,65,5.67,9.66
70,Jugador_070,Aguilas FC,Mediocampista,Uruguay,29,27,9,2.0,2376,4,0,176,82,6.43,11.99
71,Jugador_071,Delfines CF,Mediocampista,Brasil,34,21,5,3.0,1890,1,0,189,79,7.32,
72,Jugador_072,Lobos FC,Mediocampista,Chile,31,36,2,3.0,1512,3,1,183,78,6.16,3.59
73,Jugador_073,Jaguares SC,Mediocampista,Espana,40,29,3,3.0,1218,1,1,173,71,7.35,2.74
74,Jugador_074,Tigres SC,Mediocampista,Brasil,29,20,6,2.0,1240,1,0,190,68,6.87,11.28
75,Jugador_075,Lobos FC,Portero,Espana,39,24,0,1.0,1008,5,1,187,81,7.93,0.3
76,Jugador_076,Halcones CF,Mediocampista,Brasil,39,3,2,3.0,249,1,0,172,78,7.76,2.69
77,Jugador_077,Toros United,Mediocampista,Argentina,21,13,3,1.0,533,3,0,182,74,7.03,3.78
78,Jugador_078,Delfines CF,Mediocampista,Alemania,35,28,1,3.0,2464,2,0,180,84,6.66,1.79
79,Jugador_079,Toros United,Mediocampista,Inglaterra,31,16,4,3.0,1232,3,0,181,87,7.57,5.41
80,Jugador_080,Panteras FC,Defensa,Argentina,38,36,1,0.0,2448,4,0,185,87,7.02,0.3
81,Jugador_081,Delfines CF,Portero,Alemania,22,25,0,,2200,3,1,183,72,7.26,2.99
82,Jugador_082,Panteras FC,Delantero,Colombia,23,1,4,3.0,62,5,0,186,80,7.11,5.84
83,Jugador_083,Toros United,Portero,Inglaterra,26,6,0,5.0,240,5,0,179,82,6.97,6.19
84,Jugador_084,Delfines CF,Mediocampista,Francia,40,24,3,4.0,1848,2,1,178,66,6.15,3.56
85,Jugador_085,Halcones CF,Defensa,Uruguay,40,31,2,4.0,1829,4,0,179,94,7.35,
86,Jugador_086,Lobos FC,Delantero,Italia,36,11,9,4.0,638,3,0,163,72,6.44,10.61
87,Jugador_087,Delfines CF,Delantero,Argentina,18,15,9,8.0,1290,3,0,178,82,7.67,9.35
88,Jugador_088,Toros United,Defensa,Mexico,19,15,3,4.0,990,3,0,189,81,6.48,3.79
89,Jugador_089,Tigres SC,Delantero,Italia,33,9,6,2.0,459,2,1,175,84,6.88,8.26
90,Jugador_090,Panteras FC,Defensa,Brasil,19,35,0,,1680,3,0,171,75,7.72,3.17
91,Jugador_091,Panteras FC,Delantero,Alemania,40,19,9,6.0,1216,4,0,183,69,7.05,10.68
92,Jugador_092,Tigres SC,Delantero,Chile,21,13,13,,858,3,0,197,76,6.31,14.79
93,Jugador_093,Tigres SC,Mediocampista,Mexico,39,36,6,2.0,2268,3,0,177,77,7.39,3.72
94,Jugador_094,Aguilas FC,Defensa,Colombia,25,24,2,2.0,1104,0,0,183,68,6.76,4.57
95,Jugador_095,Jaguares SC,Defensa,Mexico,23,0,2,2.0,0,2,1,177,85,7.24,2.6
96,Jugador_096,Aguilas FC,Mediocampista,Colombia,22,16,8,4.0,1136,5,0,171,61,,10.92
97,Jugador_097,Leones United,Defensa,Espana,35,26,0,3.0,2054,1,0,177,80,6.98,4.95
98,Jugador_098,Leones United,Delantero,Uruguay,18,36,14,6.0,2124,1,0,177,84,7.74,13.42
99,Jugador_099,Condores United,Defensa,Italia,31,20,0,3.0,1640,4,1,178,72,6.8,5.41
100,Jugador_100,Tigres SC,Portero,Colombia,27,14,0,2.0,1106,2,1,172,64,8.16,1.12
101,Jugador_101,Panteras FC,Mediocampista,Chile,30,12,5,0.0,912,0,0,171,75,7.59,6.46
102,Jugador_102,Lobos FC,Mediocampista,,23,3,1,2.0,228,6,0,170,75,7.17,1.02
103,Jugador_103,Halcones CF,Delantero,Francia,18,3,12,4.0,141,5,0,179,73,6.86,12.46
104,Jugador_104,Tigres SC,Defensa,Espana,28,16,0,2.0,1424,3,0,180,67,6.47,0.3
105,Jugador_105,Aguilas FC,Defensa,Argentina,24,30,2,4.0,1200,3,0,187,96,7.21,7.54
106,Jugador_106,Panteras FC,Mediocampista,Argentina,35,15,4,,885,0,0,186,75,6.82,8.87
107,Jugador_107,Toros United,Delantero,Colombia,25,5,6,2.0,450,3,1,174,72,7.01,6.66
108,Jugador_108,Panteras FC,Defensa,Italia,24,34,1,4.0,1904,4,1,176,72,7.51,3.44
109,Jugador_109,Tigres SC,Mediocampista,Alemania,26,31,4,3.0,2542,5,0,175,80,6.54,9.05
110,Jugador_110,Halcones CF,Defensa,Alemania,17,12,1,1.0,768,1,0,170,76,7.15,0.3
111,Jugador_111,Aguilas FC,Mediocampista,Espana,28,13,1,3.0,1014,3,0,176,66,5.59,1.03
112,Jugador_112,Leones United,Defensa,Mexico,37,11,0,3.0,880,4,0,169,72,7.57,2.77
113,Jugador_113,Leones United,Defensa,Inglaterra,29,5,0,6.0,405,3,0,167,79,6.04,4.1
114,Jugador_114,Tigres SC,Defensa,Alemania,28,15,1,2.0,855,3,0,185,73,6.74,5.72
115,Jugador_115,Delfines CF,Defensa,Francia,28,18,2,2.0,1134,4,0,179,82,7.0,4.02
116,Jugador_116,Toros United,Defensa,Colombia,22,26,1,5.0,1924,3,1,174,78,7.02,0.85
117,Jugador_117,Lobos FC,Mediocampista,Argentina,19,7,3,6.0,385,3,0,183,83,7.07,10.09
118,Jugador_118,Delfines CF,Mediocampista,Argentina,39,16,4,,1088,5,0,184,81,7.12,3.94
119,Jugador_119,Halcones CF,Mediocampista,Alemania,35,0,5,1.0,0,2,0,189,79,8.04,6.43
120,Jugador_120,Halcones CF,Defensa,Argentina,34,20,6,5.0,1360,2,0,177,87,7.6,8.32
121,Jugador_121,Aguilas FC,Delantero,Mexico,18,16,13,1.0,1072,2,1,181,66,7.21,9.97
122,Jugador_122,Panteras FC,Mediocampista,Brasil,27,27,3,0.0,1215,1,0,177,65,5.68,0.44
123,Jugador_123,Condores United,Mediocampista,Inglaterra,17,22,2,1.0,1958,2,0,176,70,6.48,4.9
124,Jugador_124,Halcones CF,Mediocampista,Espana,25,1,2,2.0,40,4,0,186,73,7.78,5.33
125,Jugador_125,Jaguares SC,Defensa,Argentina,19,5,3,4.0,250,5,1,183,74,5.54,8.87
126,Jugador_126,Halcones CF,Defensa,Colombia,18,5,0,0.0,240,3,1,173,63,6.49,0.66
127,Jugador_127,Panteras FC,Mediocampista,Alemania,28,32,8,1.0,1920,4,0,180,85,6.38,9.28
128,Jugador_128,Jaguares SC,Mediocampista,Mexico,23,28,3,3.0,2016,2,0,184,76,8.06,4.47
129,Jugador_129,Jaguares SC,Defensa,Uruguay,40,6,0,3.0,510,3,0,178,77,6.49,0.3
130,Jugador_130,Lobos FC,Defensa,Uruguay,34,35,0,3.0,1400,4,0,179,68,6.85,3.26
131,Jugador_131,Jaguares SC,Mediocampista,Portugal,25,20,4,,1020,5,0,196,74,6.39,6.52
132,Jugador_132,Halcones CF,Mediocampista,Alemania,18,33,6,3.0,2343,3,0,174,73,5.85,72.31
133,Jugador_133,Tigres SC,Defensa,Uruguay,32,8,1,4.0,608,3,0,175,78,6.82,3.8
134,Jugador_134,Leones United,Defensa,Mexico,26,27,2,1.0,2079,4,0,190,83,6.32,6.39
135,Jugador_135,Halcones CF,Delantero,Inglaterra,26,24,7,6.0,1968,4,1,181,76,6.21,10.49
136,Jugador_136,Lobos FC,Mediocampista,Portugal,31,38,4,5.0,1520,4,0,179,70,6.69,5.52
137,Jugador_137,Toros United,Portero,,26,16,0,5.0,1040,4,0,171,78,6.35,4.01
138,Jugador_138,Panteras FC,Delantero,Uruguay,34,33,12,4.0,2211,2,1,182,77,6.56,16.9
139,Jugador_139,Aguilas FC,Portero,Argentina,38,2,0,3.0,108,4,0,184,69,6.2,1.82
140,Jugador_140,Delfines CF,Defensa,Uruguay,34,27,1,3.0,2376,1,0,188,76,6.58,2.96
141,Jugador_141,Toros United,Delantero,Chile,40,21,5,2.0,1659,2,0,189,63,6.89,4.3
142,Jugador_142,Panteras FC,Portero,Alemania,24,24,0,2.0,1920,3,0,182,76,6.54,1.6
143,Jugador_143,Jaguares SC,Delantero,Inglaterra,24,30,3,6.0,2550,1,0,175,60,7.3,4.8
144,Jugador_144,Aguilas FC,Defensa,Espana,24,33,1,2.0,2673,1,0,172,73,6.65,2.02
145,Jugador_145,Panteras FC,Defensa,Italia,21,3,3,2.0,123,6,0,190,81,7.46,4.77
146,Jugador_146,Lobos FC,Delantero,Mexico,20,34,7,3.0,1666,4,1,176,72,6.92,5.95
147,Jugador_147,Lobos FC,Delantero,Argentina,21,17,9,1.0,1275,3,0,188,77,6.3,8.97
148,Jugador_148,Delfines CF,Mediocampista,Francia,34,10,2,2.0,710,2,0,185,77,7.56,0.72
149,Jugador_149,Condores United,Portero,Francia,29,2,0,5.0,128,0,0,178,74,6.91,1.81
150,Jugador_150,Panteras FC,Defensa,Alemania,23,33,2,3.0,2376,4,1,190,67,7.67,3.46

